source_id,target_id,source_index,target_index,source,target,label,split,negative_type,similarity
199,26,199,26,probability,logistic regression,1,val,none,0.5607091188430786
198,1,198,1,linear algebra,generative adversarial networks,1,val,none,0.22095680236816406
201,62,201,62,information theory: coding,bootstrapping,1,val,none,0.34150129556655884
199,71,199,71,probability,multilingual word,1,val,none,0.277214914560318
174,193,174,193,entropy,graph convolutional networks,1,val,none,0.18990331888198853
154,127,154,127,artificial neural network,backpropagation through time,1,val,none,0.5112289190292358
154,23,154,23,artificial neural network,dqn,1,val,none,0.4493182897567749
124,82,124,82,matrix multiplication,dimensionality reduction,1,val,none,0.4511500298976898
124,7,124,7,matrix multiplication,scientific article summarization,1,val,none,0.2504125237464905
199,130,199,130,probability,speech synthesis,1,val,none,0.24089713394641876
198,26,198,26,linear algebra,logistic regression,1,val,none,0.4148486852645874
204,10,204,10,relational databases,attention models,1,val,none,0.3205270767211914
167,40,167,40,feature learning,optical character recognition,1,val,none,0.4429590702056885
45,38,45,38,bayes theorem,word segmentation,1,val,none,0.2594369053840637
152,147,152,147,conditional probability,gibbs sampling,1,val,none,0.4396619200706482
125,185,125,185,differential calculus,policy gradient methods,1,val,none,0.4180672764778137
45,40,45,40,bayes theorem,optical character recognition,1,val,none,0.16951557993888855
199,178,199,178,probability,bidirectional recurrent neural networks,1,val,none,0.27501556277275085
204,24,204,24,relational databases,backpropagation,1,val,none,0.2893981635570526
199,175,199,175,probability,cross entropy,1,val,none,0.6523587703704834
156,106,156,106,bias-variance tradeoff,ensemble learning,1,val,none,0.4147431254386902
198,52,198,52,linear algebra,automatic summarization,1,val,none,0.3333049416542053
16,149,16,149,context free grammar,compositional semantics,1,val,none,0.42203402519226074
198,74,198,74,linear algebra,convex optimization,1,val,none,0.4697452187538147
152,43,152,43,conditional probability,latent semantic indexing,1,val,none,0.27902501821517944
124,54,124,54,matrix multiplication,recursive neural network,1,val,none,0.3560747504234314
6,52,6,52,rouge,automatic summarization,1,val,none,0.7429022192955017
16,30,16,30,context free grammar,penn treebank,1,val,none,0.500529408454895
151,16,151,16,chomsky hierarchy,context free grammar,1,val,none,0.60096275806427
198,78,198,78,linear algebra,radial basis function network,1,val,none,0.40586620569229126
152,36,152,36,conditional probability,language modeling,1,val,none,0.37394607067108154
199,44,199,44,probability,language identification,1,val,none,0.3335317373275757
199,30,199,30,probability,penn treebank,1,val,none,0.2962677776813507
190,179,190,179,document representation,query expansion,1,val,none,0.5009745359420776
161,184,161,184,n-gram,smoothing and backoff,1,val,none,0.6625531911849976
8,186,8,186,open information extraction,crawling the web,1,val,none,0.3988170027732849
52,7,52,7,automatic summarization,scientific article summarization,1,val,none,0.7856559157371521
6,7,6,7,rouge,scientific article summarization,1,val,none,0.6452603340148926
204,27,204,27,relational databases,semantic parsing,1,val,none,0.514266312122345
124,196,124,196,matrix multiplication,stack lstm,1,val,none,0.38207268714904785
204,153,204,153,relational databases,linear discriminant analysis,1,val,none,0.2816612422466278
170,13,170,13,data preprocessing,abstract meaning representation,1,val,none,0.27147215604782104
125,177,125,177,differential calculus,kullback-leibler divergence,1,val,none,0.4554929733276367
33,53,33,53,combinatory categorial grammar,supertagging,1,val,none,0.6196115612983704
34,187,34,187,relation extraction,citation networks,1,val,none,0.3885287642478943
174,96,174,96,entropy,cnn's,1,val,none,0.20951928198337555
199,146,199,146,probability,gated recurrent units,1,val,none,0.2830003798007965
204,135,204,135,relational databases,wordnet,1,val,none,0.3729465901851654
198,7,198,7,linear algebra,scientific article summarization,1,val,none,0.3134459853172302
204,44,204,44,relational databases,language identification,1,val,none,0.2808436155319214
124,139,124,139,matrix multiplication,spectral clustering,1,val,none,0.3685503304004669
198,2,198,2,linear algebra,neural machine translation,1,val,none,0.3077785074710846
161,50,161,50,n-gram,part of speech tagging,1,val,none,0.5972890853881836
198,96,198,96,linear algebra,cnn's,1,val,none,0.2955212891101837
164,20,164,20,loss function,capsule networks,1,val,none,0.18799179792404175
86,80,86,80,perceptrons algorithm,boltzmann machine,0,val,random_non_prerequisite,0.523444652557373
171,22,171,22,robotic locomotion,q learning,0,val,random_non_prerequisite,0.45757079124450684
10,158,10,158,attention models,image retrieval,0,val,random_non_prerequisite,0.4533969461917877
83,201,83,201,first-order logic,information theory: coding,0,val,random_non_prerequisite,0.31537961959838867
36,73,36,73,language modeling,linear regression,0,val,random_non_prerequisite,0.3562210202217102
116,139,116,139,propositional logic,spectral clustering,0,val,random_non_prerequisite,0.16438928246498108
15,40,15,40,machine reading comprehension,optical character recognition,0,val,random_non_prerequisite,0.3906615972518921
145,24,145,24,log-linear models,backpropagation,0,val,random_non_prerequisite,0.3451554477214813
64,178,64,178,shallow parsing,bidirectional recurrent neural networks,0,val,random_non_prerequisite,0.4694231152534485
8,192,8,192,open information extraction,game playing in ai,0,val,random_non_prerequisite,0.21088218688964844
55,12,55,12,multi-document summarization,semantic role labeling,0,val,random_non_prerequisite,0.36472541093826294
182,123,182,123,character level language models,recommendation system,0,val,random_non_prerequisite,0.2767927646636963
85,171,85,171,noisy channel model,robotic locomotion,0,val,random_non_prerequisite,0.1400693953037262
116,142,116,142,propositional logic,dynamic programming,0,val,random_non_prerequisite,0.3188941478729248
64,51,64,51,shallow parsing,question answering,0,val,random_non_prerequisite,0.5068911910057068
25,120,25,120,word embedding,textual entailment,0,val,random_non_prerequisite,0.5191085338592529
109,121,109,121,text mining,constraint satisfaction,0,val,random_non_prerequisite,0.21862387657165527
174,140,174,140,entropy,particle filter,0,val,random_non_prerequisite,0.2577248215675354
149,43,149,43,compositional semantics,latent semantic indexing,0,val,random_non_prerequisite,0.4580531716346741
102,183,102,183,crowdsourcing,hierarchical models,0,val,random_non_prerequisite,0.36602234840393066
56,134,56,134,variational bayes,long short-term memory networks,0,val,random_non_prerequisite,0.2054315209388733
137,114,137,114,probabilistic context-free grammars,k means,0,val,random_non_prerequisite,0.24470841884613037
188,178,188,178,greedy algorithms,bidirectional recurrent neural networks,0,val,random_non_prerequisite,0.1986854076385498
95,131,95,131,word2vec,caption generation,0,val,random_non_prerequisite,0.4372450113296509
84,32,84,32,natural language generation,tree adjoining grammar,0,val,random_non_prerequisite,0.4544796943664551
200,63,200,63,descriptive statistics and hypothesis testing,distributional semantics,0,val,random_non_prerequisite,0.31143370270729065
180,90,180,90,bio text mining,k-nn,0,val,random_non_prerequisite,0.30539199709892273
95,93,95,93,word2vec,pagerank,0,val,random_non_prerequisite,0.24205827713012695
57,24,57,24,discourse model,backpropagation,0,val,random_non_prerequisite,0.26675504446029663
116,128,116,128,propositional logic,grammar checker,0,val,random_non_prerequisite,0.32888245582580566
120,164,120,164,textual entailment,loss function,0,val,random_non_prerequisite,0.2009904682636261
133,105,133,105,inference,genetic algorithms,0,val,random_non_prerequisite,0.38930371403694153
152,60,152,60,conditional probability,one-shot learning,0,val,random_non_prerequisite,0.2341286540031433
21,81,21,81,reinforcement learning,expectation-maximization (em) algorithm,0,val,random_non_prerequisite,0.2658120393753052
78,161,78,161,radial basis function network,n-gram,0,val,random_non_prerequisite,0.2803286910057068
144,62,144,62,spelling correction,bootstrapping,0,val,random_non_prerequisite,0.2675711512565613
71,56,71,56,multilingual word,variational bayes,0,val,random_non_prerequisite,0.21441444754600525
89,67,89,67,clustering,lexicography,0,val,random_non_prerequisite,0.34172680974006653
18,70,18,70,domain adaptation,multi-task learning,0,val,random_non_prerequisite,0.5682013630867004
197,29,197,29,multi-modal learning,sentiment analysis,0,val,random_non_prerequisite,0.348050594329834
132,54,132,54,linear programming,recursive neural network,0,val,random_non_prerequisite,0.23397758603096008
56,193,56,193,variational bayes,graph convolutional networks,0,val,random_non_prerequisite,0.3348744213581085
91,129,91,129,random walks,shift-reduce parsing,0,val,random_non_prerequisite,0.20227691531181335
195,142,195,142,highway networks,dynamic programming,0,val,random_non_prerequisite,0.3147276043891907
23,135,23,135,dqn,wordnet,0,val,random_non_prerequisite,0.19399204850196838
200,96,200,96,descriptive statistics and hypothesis testing,cnn's,0,val,random_non_prerequisite,0.2127825915813446
6,126,6,126,rouge,facial recognition systems,0,val,random_non_prerequisite,0.13296766579151154
63,79,63,79,distributional semantics,kernel function,0,val,random_non_prerequisite,0.358400821685791
90,148,90,148,k-nn,statistical machine translation,0,val,random_non_prerequisite,0.25215673446655273
169,60,169,60,regularization,one-shot learning,0,val,random_non_prerequisite,0.39050936698913574
151,179,151,179,chomsky hierarchy,query expansion,0,val,random_non_prerequisite,0.12997344136238098
2,12,2,12,neural machine translation,semantic role labeling,0,val,random_non_prerequisite,0.46272018551826477
